iteration,individual,obj_0
113,3,4.003875968992248
113,7,4.003875968992248
113,8,4.003875968992248
114,0,7.003875968992248
115,7,7.003875968992248
115,9,7.003875968992248
116,4,4.003875968992248
116,5,4.003875968992248
117,3,4.003875968992248
117,6,4.003875968992248
117,7,4.003875968992248
117,8,4.003875968992248
118,0,1.003875968992248
118,1,1.003875968992248
118,2,1.003875968992248
118,3,1.003875968992248
118,4,1.003875968992248
118,5,1.003875968992248
118,6,1.003875968992248
118,7,1.003875968992248
118,8,1.003875968992248
118,9,1.003875968992248
119,5,10.003875968992247
120,1,4.003875968992248
120,5,4.003875968992248
120,7,4.003875968992248
121,1,7.003875968992248
122,1,7.003875968992248
123,4,10.003875968992247
124,3,5.003875968992248
125,2,4.003875968992248
125,6,4.003875968992248
125,9,4.003875968992248
126,1,4.003875968992248
126,3,4.003875968992248
126,6,4.003875968992248
126,9,4.003875968992248
127,0,7.003875968992248
127,4,7.003875968992248
128,1,7.003875968992248
129,4,4.003875968992248
129,8,4.003875968992248
129,9,4.003875968992248
130,1,4.003875968992248
130,3,4.003875968992248
130,4,4.003875968992248
131,3,7.003875968992248
131,9,7.003875968992248
132,1,4.003875968992248
132,3,4.003875968992248
132,4,4.003875968992248
132,6,4.003875968992248
132,8,4.003875968992248
133,4,4.003875968992248
133,6,4.003875968992248
133,7,4.003875968992248
133,9,4.003875968992248
134,4,4.003875968992248
135,6,4.003875968992248
136,1,4.003875968992248
136,9,4.003875968992248
137,0,4.003875968992248
137,3,4.003875968992248
137,5,4.003875968992248
137,7,4.003875968992248
138,5,7.003875968992248
139,1,4.003875968992248
139,6,4.003875968992248
139,7,4.003875968992248
139,9,4.003875968992248
140,0,4.003875968992248
140,4,4.003875968992248
140,9,4.003875968992248
141,0,4.003875968992248
141,2,4.003875968992248
141,7,4.003875968992248
142,3,4.003875968992248
142,5,4.003875968992248
142,6,4.003875968992248
142,7,4.003875968992248
143,3,4.003875968992248
143,7,4.003875968992248
144,2,4.003875968992248
144,6,4.003875968992248
145,4,4.003875968992248
146,0,1.003875968992248
146,1,1.003875968992248
146,2,1.003875968992248
146,3,1.003875968992248
146,4,1.003875968992248
146,5,1.003875968992248
146,6,1.003875968992248
146,7,1.003875968992248
146,8,1.003875968992248
146,9,1.003875968992248
147,1,4.003875968992248
147,7,4.003875968992248
148,0,4.003875968992248
149,1,4.003875968992248
150,2,4.003875968992248
150,8,4.003875968992248
151,8,4.003875968992248
152,4,7.003875968992248
153,0,1.003875968992248
153,1,1.003875968992248
153,2,1.003875968992248
153,3,1.003875968992248
153,4,1.003875968992248
153,5,1.003875968992248
153,6,1.003875968992248
153,7,1.003875968992248
153,8,1.003875968992248
153,9,1.003875968992248
154,1,4.003875968992248
154,3,4.003875968992248
154,4,4.003875968992248
154,8,4.003875968992248
155,5,4.003875968992248
156,3,4.003875968992248
156,4,4.003875968992248
157,7,7.003875968992248
158,2,10.003875968992247
159,1,4.003875968992248
159,5,4.003875968992248
159,7,4.003875968992248
160,2,4.003875968992248
161,0,7.003875968992248
161,7,7.003875968992248
162,4,4.003875968992248
162,8,4.003875968992248
163,7,4.003875968992248
164,2,4.003875968992248
164,5,4.003875968992248
165,0,7.003875968992248
166,4,4.003875968992248
166,6,4.003875968992248
166,9,4.003875968992248
167,2,4.003875968992248
167,6,4.003875968992248
167,7,4.003875968992248
168,4,4.003875968992248
168,9,4.003875968992248
169,3,7.003875968992248
170,7,7.003875968992248
171,1,4.003875968992248
171,2,4.003875968992248
171,3,4.003875968992248
171,8,4.003875968992248
172,4,7.003875968992248
173,1,7.003875968992248
173,5,7.003875968992248
173,8,7.003875968992248
174,7,7.003875968992248
