iteration,individual,obj_0
0,0,1.0087719298245614
0,1,1.0087719298245614
0,2,1.0087719298245614
0,3,1.0087719298245614
0,4,1.0087719298245614
0,5,1.0087719298245614
0,6,1.0087719298245614
0,7,1.0087719298245614
0,8,1.0087719298245614
0,9,1.0087719298245614
1,0,1.0087719298245614
1,1,1.0087719298245614
1,2,1.0087719298245614
1,3,1.0087719298245614
1,4,1.0087719298245614
1,5,1.0087719298245614
1,6,1.0087719298245614
1,7,1.0087719298245614
1,8,1.0087719298245614
1,9,1.0087719298245614
2,0,1.0087719298245614
2,1,1.0087719298245614
2,2,1.0087719298245614
2,3,1.0087719298245614
2,4,1.0087719298245614
2,5,1.0087719298245614
2,6,1.0087719298245614
2,7,1.0087719298245614
2,8,1.0087719298245614
2,9,1.0087719298245614
3,0,1.0087719298245614
3,1,1.0087719298245614
3,2,1.0087719298245614
3,3,1.0087719298245614
3,4,1.0087719298245614
3,5,1.0087719298245614
3,6,1.0087719298245614
3,7,1.0087719298245614
3,8,1.0087719298245614
3,9,1.0087719298245614
4,0,1.0087719298245614
4,1,1.0087719298245614
4,2,1.0087719298245614
4,3,1.0087719298245614
4,4,1.0087719298245614
4,5,1.0087719298245614
4,6,1.0087719298245614
4,7,1.0087719298245614
4,8,1.0087719298245614
4,9,1.0087719298245614
